,Unnamed: 0,License_Number,X,City,City.1,County,DateCreated,License.,Mail.Suite.Rm,MailAddress,MailCity,MailState,MailSuite.Rm,MailZipCode,OwnerName,PrivDesc,PrivilegeStatus,ReasonAction,State,State.1,StatusDate,StreetAddress,Suite.Rm,Tradename,UBI,ZipCode,ZipCode.1,type:medical,type:processor,type:producer,type:retailer,Group.1,Total_Sales,Excise_Tax_Due,tax_rate,violation_count,violator,log_Total_Sales,log_Excise_Tax_Due
2441,2442,414574,4,MOUNT VERNON            ,,SKAGIT,,414574,,PO BOX 641                    ,CONWAY                  ,WA,                         ,982380641.0,221 INC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,18729 FIR ISLAND RD STE C     ,                         ,221,6.03321e+15,982738159.0,,1,0,0,0,414574.0,1283018,385514.0,4.350020627,1,True,14.06472567,12.86233279
2489,2490,414656,505,BREMERTON               ,,KITSAP,,414656,,625 N CALLOW AVE              ,BREMERTON               ,WA,                         ,98312.0,M2K LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151012.0,625 N CALLOW AVE              ,                         ,PACIFIC CANNABIS COMPANY                     ,6.03357e+15,983123903.0,,1,0,0,0,414656.0,574298,212444.0,2.101292096,2,True,13.2609037,12.2664337
2542,2543,414712,509,HOQUIAM                 ,,GRAYS HARBOR,,414712,,2294 STATE ROUTE 109          ,HOQUIAM                 ,WA,                         ,985500000.0,PAKALOLO LLC,MEDICAL MARIJUANA                  ,PENDING (ISSUED),PENDING        ,WA,,20151102.0,2294 STATE ROUTE 109          ,                         ,PAKALOLO                                     ,6.0336e+15,985500000.0,,1,0,0,0,414712.0,31998,11840.0,1.110123442,0,False,10.37342868,9.379238908
2561,2562,414731,560,SEATTLE                 ,,KING,,414731,,PO BOX 30888                  ,SEATTLE                 ,WA,                         ,981130888.0,D2 INVESTMENTS LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151016.0,12059 AURORA AVE N            ,                         ,SEATTLE TONICS                               ,6.03358e+15,981338249.0,,1,0,0,0,414731.0,1381297,479063.0,2.600168359,1,True,14.13853347,13.07958739
2565,2566,414733,15,OLYMPIA                 ,,THURSTON,,414733,,PO BOX 1966                   ,OLYMPIA                 ,WA,                         ,985071966.0,CHAMPAGNE PRODUCTS LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,410-A RONLEE LN               ,                         ,420 WEST                                     ,6.03359e+15,985029266.0,,1,0,0,0,414733.0,94308,34894.0,1.109997344,0,False,11.4543213,10.46007017
2567,2568,414735,452,PORT ANGELES            ,,CLALLAM,,414735,,6425 S MOUNT ANGELES RD       ,PORT ANGELES            ,WA,                         ,983628931.0,PACIFIC EDUCATION INC.,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151010.0,536 MARINE DR STE B           ,                         ,MISTER BUDS                                  ,6.02151e+15,983632230.0,,1,0,0,0,414735.0,313695,100646.0,2.849967711,0,False,12.65617646,11.51936469
2587,2588,414755,252,WENATCHEE               ,,CHELAN,,414755,,12040 98TH AVE NE STE 203     ,KIRKLAND                ,WA,                         ,980344290.0,BLUE DREAMS A POT SHOP LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,3012 GS CENTER RD STE A       ,                         ,GREEN LIFE CANNABIS                          ,6.0336e+15,988019116.0,,1,0,0,0,414755.0,978397,288642.0,4.600000536,2,True,13.7936708,12.57294244
2594,2595,414761,246,VANCOUVER               ,,CLARK,,414761,,800 NE TENNEY RD  STE 110-334 ,VANCOUVER               ,WA,                         ,98685.0,"ABP ENTERPRISE, INC.",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151012.0,2815 ST. JOHNS ROAD   STE B   ,                         ,GREEN HEAD CANNABIS                          ,6.00314e+15,98661.0,,1,0,0,0,414761.0,313063,112733.0,2.100008055,0,False,12.65415973,11.63277747
2604,2605,414772,541,SPOKANE                 ,,SPOKANE,,414772,,1514 E FRANCIS AVE            ,SPOKANE                 ,WA,                         ,992082738.0,ROSEBUD CANNABIS CO LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151030.0,6813 N DIVISION ST            ,                         ,ROSEBUD CANNABIS CO LLC                      ,6.03553e+15,992083943.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
2612,2613,414780,555,SEATTLE                 ,,KING,,414780,,3230 1ST AVE S STE B          ,SEATTLE                 ,WA,                         ,981340000.0,MARIGOLD PRODUCTS INC.,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,3230 1ST AVE S STE B          ,                         ,SEATTLE CANNABIS COMPANY                     ,6.03318e+15,981340000.0,,1,0,0,0,414780.0,2339131,748208.0,3.100016704,4,True,14.66529005,13.52543629
2618,2619,414785,224,SEATTLE                 ,,KING,,414785,,12345 LAKE CITY WAY NE        ,SEATTLE                 ,WA,PO BOX 131               ,981255401.0,PRAXA LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151014.0,14343 15TH AVE NE             ,                         ,GRASS                                        ,6.03328e+15,981253162.0,,1,0,0,0,414785.0,2866894,802818.0,4.100014571,8,True,14.86873977,13.59588332
2627,2628,414793,166,SEATTLE                 ,,KING,,414793,,1958 HARVARD AVE E APT 201    ,SEATTLE                 ,WA,                         ,981024270.0,"DONOVICK,  DAVID",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151020.0,1101 N NORTHLAKE WAY          ,STE C                    ,DAVID DONOVICK                               ,6.03552e+15,981038950.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
2640,2641,414806,626,ISSAQUAH                ,,KING,,414806,,EXPONENTIAL2 LLC              ,ISSAQUAH                ,WA,4423 193RD AVE SE        ,980279744.0,EXPONENTIAL2 LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151013.0,200 NE JUNIPER ST STE #2      ,                         ,THE EVERGREEN MARKET OF ISSAQUAH             ,6.03358e+15,980272503.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
2646,2647,414811,371,SEATTLE                 ,,KING,,414811,,12031 NORTHUP WAY STE 206     ,BELLEVUE                ,WA,                         ,980051916.0,KRONIC L.L.C.,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151015.0,9823 15TH AVE SW STE D        ,                         ,KRONIC                                       ,6.03351e+15,981062847.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
2648,2649,414812,510,BAINBRIDGE ISLAND       ,,KITSAP,,414812,,919 N 98TH ST                 ,SEATTLE                 ,WA,                         ,981053211.0,SALTESE LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151010.0,8040 NE DAY RD W BLDG 3 STE 1 ,                         ,PAPER AND LEAF                               ,6.03351e+15,981100000.0,,1,0,0,0,414812.0,1000527,366478.0,2.099988634,0,False,13.81603742,12.81169377
2653,2654,414817,139,SPOKANE VALLEY          ,,SPOKANE,,414817,,1421 N MULLAN RD STE B        ,SPOKANE VALLEY          ,WA,                         ,992064051.0,"ULTIMA, LLC",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151023.0,1421 N MULLAN RD STE B        ,                         ,CINDER                                       ,6.03352e+15,992064051.0,,1,0,0,0,414817.0,3843531,1180590.0,4.099983953,0,False,15.16190203,13.98152487
2659,2660,414823,415,SPOKANE VALLEY          ,,SPOKANE,,414823,,PO BOX 15359                  ,SPOKANE VALLEY          ,WA,                         ,992155359.0,WASHINGTON FRESH LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151012.0,9616 E SPRAGUE AVE            ,STE B                    ,LOCALS CANNA HOUSE                           ,6.03359e+15,992060000.0,,1,0,0,0,414823.0,248585,91975.0,1.850047443,0,False,12.42354012,11.42927208
2667,2668,414829,643,LAKE STEVENS            ,,SNOHOMISH,,414829,,PMB 215                       ,LAKE STEVENS            ,WA,303 91ST AVE NE STE E502 ,98258.0,THE HEALING LEAF GARDEN COLLECTIVE,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151015.0,9626 32ND ST SE               ,                         ,THE HEALING LEAF GARDEN COLLECTIVE           ,6.03204e+15,982050000.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
2712,2713,414876,431,VANCOUVER               ,,CLARK,,414876,,2314 MAIN ST                  ,VANCOUVER               ,WA,                         ,986602642.0,REICK LLC,MEDICAL MARIJUANA                  ,PENDING (ISSUED),PENDING        ,WA,,20151022.0,2314 MAIN ST                  ,                         ,MAIN STREET MARIJUANA                        ,6.03357e+15,986602642.0,,1,0,0,0,414876.0,17370832,5284445.0,4.850006977,0,False,16.67030304,15.48027816
2721,2722,414886,350,RIDGEFIELD              ,,CLARK,,414886,,PO BOX 5889                   ,VANCOUVER               ,WA,                         ,986685889.0,"JDT VENTURES, LLC",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,6307 N 1ST CIR                ,                         ,JDT VENTURES                                 ,6.03358e+15,986423354.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
2751,2752,414918,409,CUSTER                  ,,WHATCOM,,414918,,6075 GUIDE MERIDIAN           ,BELLINGHAM              ,WA,                         ,982269751.0,"LINSE ENTERPRISES, INC.",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151013.0,3435 BIRCH BAY LYNDEN RD      ,                         ,LINSE ENTERPRISES                            ,6.01718e+15,982409507.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
2790,2791,414959,730,SEATTLE                 ,,KING,,414959,,15600 NE 8TH ST STE B1 #661   ,BELLEVUE                ,WA,                         ,980083958.0,"WORLD OF WEED, LLC",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20140101.0,11401 RAINIER AVE S           ,                         ,WORLD OF WEED                                ,6.03359e+15,981780000.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
2793,2794,414963,420,LACEY                   ,,THURSTON,,414963,,1926 HOMAN AVE                ,DUPONT                  ,WA,                         ,983277702.0,"NATURAL MYSTICS, L.L.C.",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,4820 YELM HWY SE SUITE D      ,                         ,LUCID                                        ,6.03359e+15,985033402.0,,1,0,0,0,414963.0,1792397,554638.0,3.599930846,3,True,14.39906439,13.22607093
2802,2803,414970,107,BATTLE GROUND           ,,CLARK,,414970,,10902 NE ROSEWOOD AVE         ,VANCOUVER               ,WA,                         ,986620000.0,"C4U, LLC",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151010.0,1910 W MAIN ST SUITE 101      ,                         ,CANNABIS COUNTRY STORE                       ,6.03359e+15,986040000.0,,1,0,0,0,414970.0,1873509,565351.0,3.849982905,0,False,14.4433237,13.24520206
2830,2831,415000,487,SEATTLE                 ,,KING,,415000,,14719 SE 190TH ST             ,RENTON                  ,WA,                         ,980589313.0,NORTHWEST GREEN LEAF INC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151021.0,8600 AURORA AVE N STE A 2     ,                         ,NORTHWEST GREEN LEAF                         ,6.03552e+15,981033964.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
2832,2833,415001,451,ELMA                    ,,GRAYS HARBOR,,415001,,206 SATSOP RIVIERA LOOP       ,ELMA                    ,WA,                         ,985419524.0,THE 3-M'S OF GRAYS HARBOR LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,5675 STATE ROUTE 12 STE 1     ,                         ,MILLER'S MARIJUANA                           ,6.03358e+15,985410000.0,,1,0,0,0,415001.0,832142,254279.0,4.349344494,0,False,13.63175838,12.44618737
2842,2843,415010,533,TACOMA                  ,,PIERCE,,415010,,112 S 24TH ST                 ,TACOMA                  ,WA,                         ,984022904.0,"RD TACOMA, LLC",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151010.0,112 S 24TH ST                 ,                         ,RAINIER DOWNTOWN                             ,6.03385e+15,984022904.0,,1,0,0,0,415010.0,1263416,412900.0,3.349994983,0,False,14.04932972,12.93096071
2865,2866,415037,439,TACOMA                  ,,PIERCE,,415037,,2345 S GRANT AVE              ,TACOMA                  ,WA,                         ,984053121.0,"MCDIVITT,  DAMIEN",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151010.0,3005 6TH AVE STE B            ,                         ,MARY MART                                    ,6.03358e+15,984066202.0,,1,0,0,0,415037.0,2278330,686547.0,4.350013386,1,True,14.63895328,13.43942997
2892,2893,415066,351,OLYMPIA                 ,,THURSTON,,415066,,3203 MARTIN WAY E             ,OLYMPIA                 ,WA,                         ,985064951.0,"MAHAN,  JEFF  JOSEPH",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151027.0,3203 MARTIN WAY E             ,                         ,JEFF MAHAN                                   ,6.0336e+15,985064951.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
2909,2910,415083,8,LACEY                   ,,THURSTON,,415083,,PO BOX 1966                   ,OLYMPIA                 ,WA,                         ,985071966.0,CHAMPAGNE PRODUCTS LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),PENDING        ,WA,,20151009.0,422 CARPENTER RD STE 105      ,                         ,420 CARPENTER                                ,6.03359e+15,985037906.0,,1,0,0,0,415083.0,2714679,802017.0,4.848399295,0,False,14.81418427,13.59488508
2936,2937,415115,678,KENMORE                 ,,KING,,415115,,PO BOX 21284                  ,SEATTLE                 ,WA,                         ,981110000.0,ROCKY MOUNTAIN HIGH LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151012.0,6323 NE BOTHEL WAY            ,                         ,THEOREM                                      ,6.03359e+15,980280000.0,,1,0,0,0,415115.0,423202,154411.0,2.100010347,2,True,12.95560489,11.94737316
2944,2945,415124,283,SOUTH BEND              ,,PACIFIC,,415124,,PO BOX 0554                   ,SOUTH BEND              ,WA,                         ,985860000.0,BEST BUD SHOP LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,613 MONTANA AVE STE 2         ,                         ,GROWERS OUTLET                               ,6.0336e+15,985860000.0,,1,0,0,0,415124.0,325717,108504.0,2.600043662,0,False,12.69378419,11.59454232
2951,2952,415130,249,OLYMPIA                 ,,THURSTON,,415130,,PO BOX 574                    ,GRAPEVIEW               ,WA,                         ,985460574.0,"GREEN LADY, INC.",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151016.0,3044 PACIFIC AVE SE STE B     ,                         ,GREEN LADY                                   ,6.0336e+15,985012043.0,,1,0,0,0,415130.0,4190412,1242352.0,4.600003697,2,True,15.24830962,14.03251692
2976,2977,415153,0,SEATTLE                 ,,KING,,415153,,13722 39TH PL W               ,LYNNWOOD                ,WA,                         ,980876266.0,12GREEN LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151030.0,323 N 105TH ST STE C          ,                         ,12GREEN LLC                                  ,6.03552e+15,981338799.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
2993,2994,415172,435,SEATTLE                 ,,KING,,415172,,1958 HARVARD AVE E APT 201    ,SEATTLE                 ,WA,                         ,981024270.0,"DONOVICK,  MARK  KRISTOPHER",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151016.0,1101 N NORTHLAKE WAY STE A    ,                         ,MARK KRISTOPHER DONOVICK                     ,6.03551e+15,981038950.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
3020,3021,415202,165,SUNNYSIDE               ,,YAKIMA,,415202,,210 CRICKET LN                ,SUNNYSIDE               ,WA,                         ,989448606.0,"STONIES, LLC",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,10 MAPLE GROVE RD             ,                         ,DAVE'S PLACE                                 ,6.03356e+15,989440000.0,,1,0,0,0,415202.0,415,104.0,0.25060241,0,False,6.02827852,4.644390899
3025,3026,415206,460,RAYMOND                 ,,PACIFIC,,415206,,PO BOX 554                    ,RICHLAND                ,WA,                         ,993520554.0,"R P APOTHECARY, L.L.C.",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,2870 OCEAN AVE                ,TAYLOR PARK BLDG #4      ,MR. DOOBEES                                  ,6.03412e+15,985774926.0,,1,0,0,0,415206.0,371131,107563.0,3.850037747,0,False,12.82431038,11.585832
3030,3031,415210,206,PORT ORCHARD            ,,KITSAP,,415210,,15701 81ST AVE E              ,PUYALLUP                ,WA,                         ,983756880.0,"TORRES,  TRICIA",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151017.0,4978 SE MILE HILL DR          ,                         ,FILLABONG                                    ,6.03363e+15,983662102.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
3032,3033,415211,207,SILVERDALE              ,,KITSAP,,415211,,15701 81ST AVE E              ,PUYALLUP                ,WA,                         ,983756880.0,"TORRES,  TRICIA",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151017.0,2839 NW KITSAP PL STE A       ,                         ,FILLABONG                                    ,6.03363e+15,983839447.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
3048,3049,415227,357,PUYALLUP                ,,PIERCE,,415227,,20727 180TH ST E              ,ORTING                  ,WA,                         ,983609683.0,K & J MANAGEMENT LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151024.0,9506 CANYON RD E              ,                         ,K & J MANAGEMENT LLC                         ,6.03228e+15,983716302.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
3059,3060,415237,323,MOUNTLAKE TERRACE       ,,SNOHOMISH,,415237,,24007 56TH AVE W              ,MOUNTLAKE TERRACE       ,WA,                         ,980435501.0,HIGH ON 99 LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151013.0,24007 56TH AVE W STE A        ,                         ,HIGH ON 99 LLC                               ,6.03353e+15,980435501.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
3062,3063,415238,322,LYNNWOOD                ,,SNOHOMISH,,415238,,24007 56TH AVE W              ,MOUNTLAKE TERRACE       ,WA,                         ,980435501.0,HIGH ON 99 LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,15919 HWY 99                  ,                         ,HIGH ON 99                                   ,6.03353e+15,980871427.0,,1,0,0,0,415238.0,1040263,349760.0,2.59999744,2,True,13.85498412,12.76500248
3076,3077,415253,62,BELLEVUE                ,,KING,,415253,,614 116TH AVE NE              ,BELLEVUE                ,WA,                         ,980045206.0,"SEATTLE 420, LLC",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151023.0,614 116TH AVE NE              ,                         ,BELLEVUE MARIJUANA                           ,6.0335e+15,980045206.0,,1,0,0,0,415253.0,1999714,651269.0,3.099985333,0,False,14.50851473,13.38667805
3101,3102,415280,488,EVERETT                 ,,SNOHOMISH,,415280,,14719 SE 190TH ST             ,RENTON                  ,WA,                         ,980589313.0,NORTHWEST GREEN LEAF INC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151020.0,12803 HIGHWAY 99 STE A        ,                         ,NORTHWEST GREEN LEAF                         ,6.03552e+15,982046226.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
3109,3110,415294,223,QUINCY                  ,,GRANT,,415294,,PO BOX 38                     ,SOAP LAKE               ,WA,                         ,988510038.0,"RAINBOW PURPLE, LLC",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,5384 NW K RD STE A            ,                         ,GOODBUDS                                     ,6.02378e+15,988480000.0,,1,0,0,0,415294.0,210089,68797.0,2.850028952,0,False,12.25528653,11.13891542
3118,3119,415310,135,KINGSTON                ,,KITSAP,,415310,,PO BOX 1049                   ,KINGSTON                ,WA,                         ,983461049.0,"STANLEY,  CHRISTY  S",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151020.0,26099 UNITED RD NE            ,                         ,CHRISTY S STANLEY                            ,6.01502e+15,983468486.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
3125,3126,415325,441,SEATTLE                 ,,KING,,415325,,12345 LAKE CITY WAY NE        ,SEATTLE                 ,WA,PO BOX 131               ,981255401.0,GUZZY LOGISTICS LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151014.0,12230 AURORA AVE N STE B      ,                         ,MARY'S FINEST MARIJUANA                      ,6.03302e+15,981338033.0,,1,0,0,0,415325.0,982239,294702.0,3.850045868,7,True,13.79758994,12.59371996
3165,3166,415390,257,ROY                     ,,PIERCE,,415390,,34011 STATE ROUTE 507 S       ,ROY                     ,WA,                         ,985809427.0,GREEN PALACE INCORPORATED,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151020.0,34011 STATE ROUTE 507 S       ,STE B                    ,GREEN PALACE INCORPORATED                    ,6.03552e+15,985809427.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
3186,3187,415410,630,BUCKLEY                 ,,PIERCE,,415410,,28120 HWY 410 E UNIT A8       ,BUCKLEY                 ,WA,                         ,983218482.0,"LG UNLIMITED, LLC",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151010.0,28120 HWY 410 E UNIT A8       ,                         ,THE GREEN DOOR                               ,6.0342e+15,983218482.0,,1,0,0,0,415410.0,1777446,535870.0,3.850029452,2,True,14.39068806,13.19164687
3204,3205,415429,421,OLYMPIA                 ,,THURSTON,,415429,,4820 YELM HWY STE D           ,LACEY                   ,WA,                         ,985034903.0,"NATURAL MYSTICS, L.L.C.",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,7294 MARTIN WAY E             ,                         ,LUCID                                        ,6.03359e+15,985165533.0,,1,0,0,0,415429.0,79736,29502.0,0.739988655,0,False,11.28647646,10.29221334
3214,3215,415445,706,EVERSON                 ,,WHATCOM,,415445,,3708 MT. BAKER HWY            ,EVERSON                 ,WA,                         ,982470000.0,"W.C.W. ENTERPRISES, LLC",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,3708 MT BAKER HWY             ,                         ,W.C.W. ENTERPRISES                           ,6.0336e+15,982470000.0,,1,0,0,0,415445.0,248602,79699.0,3.100221725,0,False,12.4236085,11.28601232
3234,3235,415470,2,BELLINGHAM              ,,WHATCOM,,415470,,5474 MARIOTTA RD              ,EVERSON                 ,WA,                         ,982479416.0,ATL INDUSTRIES LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151012.0,2018 IRON ST STE A            ,                         ,2020 SOLUTIONS                               ,6.02998e+15,982264212.0,,1,0,0,0,415470.0,3194973,933619.0,4.849987902,0,False,14.9770892,13.74682371
3248,3249,415484,644,TENINO                  ,,THURSTON,,415484,,1121 HARRISON AVE PMB 276     ,CENTRALIA               ,WA,                         ,985311852.0,GROUP DELTA 9 LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151014.0,449 WICHMAN ST S STE A        ,                         ,THE HERBAL CENTER                            ,6.03327e+15,985899376.0,,1,0,0,0,415484.0,260956,88850.0,2.602195832,0,False,12.47210709,11.39470483
3258,3259,415496,598,GRANDVIEW               ,,YAKIMA,,415496,,210 CRICKET LN                ,SUNNYSIDE               ,WA,                         ,989448606.0,"STONIES, LLC",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151013.0,404-406 STOVER ROAD           ,                         ,"STONIES, LLC                                 ",6.03356e+15,989300000.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
3281,3282,415523,606,ABERDEEN                ,,GRAYS HARBOR,,415523,,1119 N BROADWAY               ,ABERDEEN                ,WA,                         ,985840000.0,"WASHINGTON COAST MARKETING, INC.",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,100 OLD HILL RD               ,                         ,SWEET LEAF CANNABIS CO                       ,6.03359e+15,985200000.0,,1,0,0,0,415523.0,104066,38503.0,1.479865224,0,False,11.55278059,10.55849144
3284,3285,415526,10,LONGVIEW                ,,COWLITZ,,415526,,1161 MT ST HELENS WAY NE      ,CASTLE ROCK             ,WA,                         ,986110000.0,WILLY'S WONDER INC.,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151014.0,2028 10TH AVE                 ,                         ,420 HOLIDAY                                  ,6.03359e+15,986324007.0,,1,0,0,0,415526.0,1563890,478204.0,4.34961081,1,True,14.26268687,13.0777927
3288,3289,415530,450,BURIEN                  ,,KING,,415530,,PO BOX 4486                   ,SPANAWAY                ,WA,                         ,983874032.0,ADAK ENTERPRISE LLC,MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151022.0,14908 AMBAUM BLVD SW          ,STE A                    ,METRO CITY CANNABIS                          ,6.03546e+15,981661848.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
3291,3292,415534,679,SEATTLE                 ,,KING,,415534,,PO BOX 21322                  ,SEATTLE                 ,WA,                         ,981113322.0,"HL SOUTH, LLC",MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151009.0,1944 1ST AVE S #100           ,                         ,THEOREM                                      ,6.03359e+15,981341406.0,,1,0,0,0,415534.0,154,39.0,0.253246753,0,False,5.036952602,3.663561646
3297,3298,415539,219,BELFAIR                 ,,MASON,,415539,,PO BOX 106                    ,LAKEBAY                 ,WA,                         ,983490000.0,EZ DAZE LLC,MEDICAL MARIJUANA                  ,0CTIVE (ISSUED),APPROVED       ,WA,,20151011.0,23441 NE STATE ROUTE 3        ,                         ,GANJA VITA                                   ,6.03359e+15,985280000.0,,1,0,0,0,415539.0,248814,82126.0,2.849905135,0,False,12.42446091,11.31600993
3301,3302,415541,278,VANCOUVER               ,,CLARK,,415541,,9222 NE 163RD AVE             ,VANCOUVER               ,WA,                         ,986820732.0,"RENNAKER,  DALE  EDWARD",MEDICAL MARIJUANA                  ,PENDING (NOT ISSUED),PENDING        ,WA,,20151014.0,16219 SE 12TH ST STE 103      ,                         ,GREENJUANA                                   ,6.03362e+15,986838905.0,,1,0,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?
