,Unnamed: 0,License_Number,X,City,City.1,County,DateCreated,License.,Mail.Suite.Rm,MailAddress,MailCity,MailState,MailSuite.Rm,MailZipCode,OwnerName,PrivDesc,PrivilegeStatus,ReasonAction,State,State.1,StatusDate,StreetAddress,Suite.Rm,Tradename,UBI,ZipCode,ZipCode.1,type:medical,type:processor,type:producer,type:retailer,Group.1,Total_Sales,Excise_Tax_Due,tax_rate,violation_count,violator,log_Total_Sales,log_Excise_Tax_Due,age,months_old
917,918,412754,1104,MEDICAL LAKE            ,MEDICAL LAKE            ,SPOKANE,20150615.0,412754,                         ,19701 W BOWIE RD              ,,,,,WEST PLAINS AG. LLC,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,19701 W BOWIE RD #A           ,                         ,WEST PLAINS AG                               ,6.0334e+15,990229618.0,990229618.0,0,0,1,0,412754.0,23085,0.0,0.0,0,False,10.04693833,#NAME?,7.5,7.5
918,919,412754,793,MEDICAL LAKE            ,MEDICAL LAKE            ,SPOKANE,20150615.0,412754,                         ,19701 W BOWIE RD              ,,,,,WEST PLAINS AG. LLC,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,19701 W BOWIE RD #A           ,                         ,WEST PLAINS AG                               ,6.0334e+15,990229618.0,990229618.0,0,1,0,0,412754.0,23085,0.0,0.0,0,False,10.04693833,#NAME?,7.5,7.5
919,920,412756,292,TONASKET                ,SEATTLE                 ,OKANOGAN,20150814.0,412756,                         ,8538 13TH AVE NW              ,,,,,MMS GARDENS L.L.C.,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,16 COW TRAIL RD               ,                         ,MMS GARDENS                                  ,6.03319e+15,986650000.0,981173401.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,5.5,5.5
920,921,412757,1006,ROCHESTER               ,TACOMA                  ,THURSTON,20131204.0,412757,                         ,5110 184TH ST E               ,,,,,P.D. MANAGEMENT LLC,MARIJUANA PRODUCER TIER 2          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,9642 LUNDEEN RD SW            ,STE 2                    ,TWO BEES                                     ,6.03311e+15,985799016.0,984463731.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.1,26.1
921,922,412757,713,ROCHESTER               ,TACOMA                  ,THURSTON,20131204.0,412757,                         ,5110 184TH ST E               ,,,,,P.D. MANAGEMENT LLC,MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,9642 LUNDEEN RD SW            ,STE 2                    ,TWO BEES                                     ,6.03311e+15,985799016.0,984463731.0,0,1,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.1,26.1
922,923,412759,890,ARLINGTON               ,BELLINGHAM              ,SNOHOMISH,20150311.0,412759,                         ,2921 MERIDIAN ST              ,,,,,AVITAS AGRICULTURE INC,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,25404 STATE ROUTE 9 STE B     ,                         ,AVITAS                                       ,6.03271e+15,982230000.0,982251721.0,0,1,0,0,412759.0,2669428,0.0,0.0,1,True,14.79737478,#NAME?,10.7,10.7
923,924,412760,52,AIRWAY HEIGHTS          ,SPOKANE                 ,SPOKANE,20131204.0,412760,                         ,2223 S ADAMS ST               ,,,,,"GREEN TROUT FARMS, LLC",MARIJUANA PRODUCER TIER 2          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,13026 W MCFARLANE RD          ,UNIT D3-1                ,INLAND EMPIRE GROWING                        ,6.03165e+15,990015099.0,992031240.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.1,26.1
924,925,412760,42,AIRWAY HEIGHTS          ,SPOKANE                 ,SPOKANE,20131204.0,412760,                         ,2223 S ADAMS ST               ,,,,,"GREEN TROUT FARMS, LLC",MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,13026 W MCFARLANE RD          ,UNIT D3-1                ,INLAND EMPIRE GROWING                        ,6.03165e+15,990015099.0,992031240.0,0,1,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.1,26.1
925,926,412761,916,SNOHOMISH               ,SNOHOMISH               ,SNOHOMISH,20131204.0,412761,                         ,17829 TESTER RD               ,,,,,PUGET SOUND NURSERY SERVICES LLC,MARIJUANA PRODUCER TIER 2          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,17833 TESTER RD STE A         ,                         ,THE MARKET GARDEN                            ,6.02379e+15,982906647.0,982906647.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.1,26.1
926,927,412762,353,SPOKANE VALLEY          ,SPOKANE VALLEY          ,SPOKANE,20150228.0,412762,                         ,PO BOX 141013                 ,,,,,"CREATIVE CONCRETE COUNTERTOPS AND FLATWORK, I",MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,5805 E SHARP AVE              ,"SUITES A-6,A-7,A-8,A-9   ",NETTLES UNLIMITED                            ,6.02368e+15,992120948.0,992141013.0,0,0,1,0,412762.0,402498,0.0,0.0,0,False,12.90544541,#NAME?,11.0666666667,11.0666666667
927,928,412762,256,SPOKANE VALLEY          ,SPOKANE VALLEY          ,SPOKANE,20150228.0,412762,                         ,PO BOX 141013                 ,,,,,"CREATIVE CONCRETE COUNTERTOPS AND FLATWORK, I",MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,5805 E SHARP AVE              ,"SUITES A-6,A-7,A-8,A-9   ",NETTLES UNLIMITED                            ,6.02368e+15,992120948.0,992141013.0,0,1,0,0,412762.0,402498,0.0,0.0,0,False,12.90544541,#NAME?,11.0666666667,11.0666666667
928,929,412763,497,MOSES LAKE              ,OMAK                    ,GRANT,20131204.0,412763,                         ,19 HUBBERT RD                 ,,,,,PAULS POT FARM LLC,MARIJUANA PRODUCER TIER 3          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,1824 RD N NE                  ,UNIT 6                   ,PAULS POT FARM                               ,6.0348e+15,988370000.0,988410000.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.1,26.1
929,930,412764,1043,WENATCHEE               ,EAST WENATCHEE          ,CHELAN,20150115.0,412764,                         ,306 S HOUSTON                 ,,,,,VIEW ASKEW INC.,MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,353 MALAGA ALCOA HWY STE 6    ,                         ,VIEW ASKEW FARMS                             ,6.0335e+15,988018963.0,988025457.0,0,0,1,0,412764.0,101854,0.0,0.0,0,False,11.53130139,#NAME?,12.5333333333,12.5333333333
930,931,412764,743,WENATCHEE               ,EAST WENATCHEE          ,CHELAN,20150115.0,412764,                         ,306 S HOUSTON                 ,,,,,VIEW ASKEW INC.,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,353 MALAGA ALCOA HWY STE 6    ,                         ,VIEW ASKEW FARMS                             ,6.0335e+15,988018963.0,988025457.0,0,1,0,0,412764.0,101854,0.0,0.0,0,False,11.53130139,#NAME?,12.5333333333,12.5333333333
931,932,412765,162,CHELAN                  ,CHELAN                  ,OKANOGAN,20150202.0,412765,                         ,30 QUIET VALLEY RD            ,,,,,"BURDICK,  ROGER  B",MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,30 QUIET VALLEY RD UNIT A     ,                         ,LADY BUDS GARDEN CLUB                        ,6.02182e+15,988169710.0,988169710.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,11.9333333333,11.9333333333
932,933,412768,376,BREMERTON               ,BREMERTON               ,KITSAP,20131119.0,412768,                         ,2600 NE ATHENS WAY APT UA7    ,,,,,"HALE,  ROGER  DEAN",MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,1405 NE MCWILLIAMS RD STE 103 ,                         ,NORTHWEST HEALTH ALLIANCE                    ,6.03345e+15,983113124.0,983119568.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.6,26.6
933,934,412769,1516,SEATTLE                 ,SEATTLE                 ,KING,20131119.0,412769,                         ,3040 17TH AVE W APT 427       ,,,,,GREENLIFE,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,614 1ST AVE STE B             ,                         ,GREENLIFE                                    ,6.0334e+15,981042233.0,981192277.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.6,26.6
934,935,412770,1517,SILVERDALE              ,SEATTLE                 ,KITSAP,20131119.0,412770,                         ,3040 17TH AVE W APT 427       ,,,,,GREENLIFE,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,9119 RIDGETOP BLVD NW         ,                         ,GREENLIFE                                    ,6.0334e+15,983838549.0,981192277.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.6,26.6
935,936,412772,1122,VANCOUVER               ,VANCOUVER               ,CLARK,20131119.0,412772,                         ,8621 NE PIERCE PL             ,,,,,CANNABEE COMPANY,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,1308 NE 78TH ST               ,                         ,CANNABEE                                     ,6.03319e+15,986659629.0,986626617.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.6,26.6
936,937,412773,1298,BREMERTON               ,SILVERDALE              ,KITSAP,20131119.0,412773,                         ,3950 NW BISON LN              ,,,,,DND MANAGEMENT LLC,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,4020 WHEATON WAY STE L        ,                         ,EMERALD COAST                                ,6.033e+15,983103566.0,983839627.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.6,26.6
937,938,412775,1101,BREMERTON               ,SEATTLE                 ,KITSAP,20131119.0,412775,                         ,11715 ROOSEVELT WAY NE STE B  ,,,,,C & C SHOP LLC,MARIJUANA RETAILER                 ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,1107 N CALLOW AVE STE B       ,                         ,C & C SHOP                                   ,6.03264e+15,983123007.0,981254945.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.6,26.6
938,939,412777,1134,TACOMA                  ,TACOMA                  ,PIERCE,20150908.0,412777,                         ,2706 6TH AVE                  ,,,,,"TRIPLE C COLLECTIVE, LLC",MARIJUANA RETAILER                 ,CLOSED (PERMANENT),WITHDRAWN      ,WA,WA,,2708 6TH AVE                  ,                         ,CANNABIS CLUB                                ,6.03137e+15,984067213.0,984067213.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,4.66666666667,4.66666666667
940,941,412778,1081,BREMERTON               ,PORT ORCHARD            ,KITSAP,20150904.0,412778,                         ,8067 SW GLENWOOD RD           ,,,,,WASHINGTON STATE PRODUCER LLC,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,7390 STATE HWY 3 SW STE E     ,                         ,WASHINGTON STATE PRODUCER                    ,6.03332e+15,983124964.0,983679383.0,0,0,1,0,412778.0,12065,3016.0,0.500025814,0,False,9.398063978,8.011686729,4.8,4.8
941,942,412778,775,BREMERTON               ,PORT ORCHARD            ,KITSAP,20150904.0,412778,                         ,8067 SW GLENWOOD RD           ,,,,,WASHINGTON STATE PRODUCER LLC,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,7390 STATE HWY 3 SW STE E     ,                         ,WASHINGTON STATE PRODUCER                    ,6.03332e+15,983124964.0,983679383.0,0,1,0,0,412778.0,12065,3016.0,0.500025814,0,False,9.398063978,8.011686729,4.8,4.8
942,943,412779,552,RIVERSIDE               ,CAMAS                   ,OKANOGAN,20150804.0,412779,                         ,2665 NW 44TH AVE              ,,,,,PRAXIS HOLDINGS LLC,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,139 GREEN ACRES RD UNIT 3     ,                         ,PRAXIS HOLDINGS                              ,6.03111e+15,988490000.0,986078317.0,0,0,1,0,412779.0,6,0.0,0.0,0,False,1.805004696,#NAME?,5.83333333333,5.83333333333
943,944,412781,1607,ELMA                    ,SUNNYSIDE               ,GRAYS HARBOR,20131120.0,412781,                         ,1441 S 2ND ST                 ,,,,,"EATHCRAFT FARMS, INC.",MARIJUANA PRODUCER TIER 3          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,126 NEWMAN CREEK RD UNIT 4    ,UNIT 4                   ,EARTHCRAFT FARMS                             ,6.03512e+15,985419536.0,989449133.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.5666666667,26.5666666667
944,945,412781,1174,ELMA                    ,SUNNYSIDE               ,GRAYS HARBOR,20131120.0,412781,                         ,1441 S 2ND ST                 ,,,,,"EATHCRAFT FARMS, INC.",MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,126 NEWMAN CREEK RD UNIT 4    ,UNIT 4                   ,EARTHCRAFT FARMS                             ,6.03512e+15,985419536.0,989449133.0,0,1,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.5666666667,26.5666666667
945,946,412782,187,GOLDENDALE              ,GOLDENDALE              ,KLICKITAT,20150608.0,412782,                         ,65 MARYHILL HWY               ,,,,,"TAKAHASHI, GARY",MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,125 MARYHILL HWY              ,                         ,MARYHILL GARDEN                              ,6.01137e+15,986204604.0,986204604.0,0,1,0,0,412782.0,219567,0.0,0.0,0,False,12.29941352,#NAME?,7.73333333333,7.73333333333
946,947,412782,250,GOLDENDALE              ,GOLDENDALE              ,KLICKITAT,20150608.0,412782,                         ,65 MARYHILL HWY               ,,,,,"TAKAHASHI, GARY",MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,125 MARYHILL HWY              ,                         ,MARYHILL GARDEN                              ,6.01137e+15,986204604.0,986204604.0,0,0,1,0,412782.0,219567,0.0,0.0,0,False,12.29941352,#NAME?,7.73333333333,7.73333333333
947,948,412783,2037,ROCHESTER               ,LITTLEROCK              ,THURSTON,20131203.0,412783,                         ,PO BOX 62                     ,,,,,IGROW LLC,MARIJUANA PRODUCER TIER 2          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,16940 VIRCON DR SW #A         ,                         ,IGROW                                        ,6.03445e+15,985798595.0,98556.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.1333333333,26.1333333333
948,949,412783,1496,ROCHESTER               ,LITTLEROCK              ,THURSTON,20131203.0,412783,                         ,PO BOX 62                     ,,,,,IGROW LLC,MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,16940 VIRCON DR SW #A         ,                         ,IGROW                                        ,6.03445e+15,985798595.0,98556.0,0,1,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.1333333333,26.1333333333
949,950,412784,328,MOXEE                   ,YAKIMA                  ,YAKIMA,20150702.0,412784,                         ,1893 YOUNG GRADE RD           ,,,,,ORGROW LLC,MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,503 W PROSPECT RD             ,STE A                    ,ORGROW                                       ,6.03355e+15,989369810.0,989089483.0,0,1,0,0,412784.0,1142133,0.0,0.0,7,True,13.94840812,#NAME?,6.93333333333,6.93333333333
950,951,412784,460,MOXEE                   ,YAKIMA                  ,YAKIMA,20150702.0,412784,                         ,1893 YOUNG GRADE RD           ,,,,,ORGROW LLC,MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,503 W PROSPECT RD             ,STE A                    ,ORGROW                                       ,6.03355e+15,989369810.0,989089483.0,0,0,1,0,412784.0,1142133,0.0,0.0,7,True,13.94840812,#NAME?,6.93333333333,6.93333333333
953,954,412788,1229,VADER                   ,SEATTLE                 ,LEWIS,20131126.0,412788,                         ,9510 14TH AVE S               ,,,,,"ATLAS BRAND, INC.",MARIJUANA PRODUCER TIER 3          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,747 ATLAS RD                  ,                         ,ATLAS BRAND                                  ,6.03349e+15,985930000.0,981085065.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.3666666667,26.3666666667
954,955,412788,882,VADER                   ,SEATTLE                 ,LEWIS,20131126.0,412788,                         ,9510 14TH AVE S               ,,,,,"ATLAS BRAND, INC.",MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,747 ATLAS RD                  ,                         ,ATLAS BRAND                                  ,6.03349e+15,985930000.0,981085065.0,0,1,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.3666666667,26.3666666667
955,956,412789,1227,VADER                   ,SEATTLE                 ,LEWIS,20131127.0,412789,                         ,9510 14TH AVE S               ,,,,,"ATLAS BRAND, INC.",MARIJUANA PRODUCER TIER 3          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,747 ATLAS RD # A              ,                         ,ATLAS                                        ,6.03349e+15,985930000.0,981085065.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.3333333333,26.3333333333
956,957,412790,1228,VADER                   ,SEATTLE                 ,LEWIS,20131203.0,412790,                         ,9510 14TH AVE S               ,,,,,"ATLAS BRAND, INC.",MARIJUANA PRODUCER TIER 3          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,747 ATLAS RD STE B            ,                         ,ATLAS                                        ,6.03349e+15,985930000.0,981085065.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.1333333333,26.1333333333
957,958,412791,192,ELLENSBURG              ,SEATTLE                 ,KITTITAS,20131120.0,412791,                         ,5267 UNIVERSITY WAY NE        ,,,,,"LIFE GARDENS, LLC",MARIJUANA PRODUCER TIER 3          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,0 BOHANNON RD                 ,STE B                    ,LIFE GARDENS 3                               ,6.03336e+15,989260000.0,981053546.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.5666666667,26.5666666667
958,959,412792,146,ELLENSBURG              ,ELLENSBURG              ,KITTITAS,20150908.0,412792,                         ,16845 UPPER BADGER POCKET RD  ,,,,,"LIFE GARDENS, LLC",MARIJUANA PROCESSOR                ,PENDING (ISSUED),PENDING        ,WA,WA,,16845 UPPER BADGER POCKET RD  ,                         ,LIFE GARDENS 1                               ,6.03336e+15,989260000.0,989260000.0,0,1,0,0,412792.0,2929460,0.0,0.0,6,True,14.89032866,#NAME?,4.66666666667,4.66666666667
959,960,412792,190,ELLENSBURG              ,ELLENSBURG              ,KITTITAS,20150908.0,412792,                         ,16845 UPPER BADGER POCKET RD  ,,,,,"LIFE GARDENS, LLC",MARIJUANA PRODUCER TIER 3          ,PENDING (ISSUED),PENDING        ,WA,WA,,16845 UPPER BADGER POCKET RD  ,                         ,LIFE GARDENS 1                               ,6.03336e+15,989260000.0,989260000.0,0,0,1,0,412792.0,2929460,0.0,0.0,6,True,14.89032866,#NAME?,4.66666666667,4.66666666667
960,961,412793,191,ELLENSBURG              ,SEATTLE                 ,KITTITAS,20131119.0,412793,                         ,5267 UNIVERSITY WAY NE        ,,,,,"LIFE GARDENS, LLC",MARIJUANA PRODUCER TIER 3          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,0 BOHANNON RD                 ,STE C                    ,LIFE GARDENS 2                               ,6.03336e+15,989260000.0,981053546.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.6,26.6
961,962,412794,941,BENTON CITY             ,KENNEWICK               ,BENTON,20131119.0,412794,                         ,97809 CANYON VIEW DR          ,,,,,THSCIENCE LLC,MARIJUANA PRODUCER TIER 2          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,1600 DALE AVE                 ,PARCEL 113964020014000   ,THSCIENCE                                    ,6.0335e+15,993200000.0,993387567.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.6,26.6
962,963,412794,672,BENTON CITY             ,KENNEWICK               ,BENTON,20131119.0,412794,                         ,97809 CANYON VIEW DR          ,,,,,THSCIENCE LLC,MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,1600 DALE AVE                 ,PARCEL 113964020014000   ,THSCIENCE                                    ,6.0335e+15,993200000.0,993387567.0,0,1,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.6,26.6
963,964,412795,225,PORT ORCHARD            ,PORT ORCHARD            ,KITSAP,20150908.0,412795,                         ,865 RETSIL RD E               ,,,,,HARTWELL SERVICES LLC,MARIJUANA RETAILER                 ,CLOSED (PERMANENT),WITHDRAWN      ,WA,WA,,1460 SEDGWICK RD SE           ,                         ,MARI JANE'S                                  ,6.03352e+15,983669360.0,983665046.0,0,0,0,1,,0,0.0,0.0,0,False,#NAME?,#NAME?,4.66666666667,4.66666666667
964,965,412803,1893,SEATTLE                 ,AMBOY                   ,KING,20150316.0,412803,                         ,PO BOX 5                      ,,,,,GREEN THUMB GROWERS LLC,MARIJUANA PRODUCER TIER 1          ,PENDING (ISSUED),PENDING        ,WA,WA,,1944 1ST AVE S  SUITE 400     ,                         ,GREEN THUMB GROWERS                          ,6.03438e+15,981341406.0,986010005.0,0,0,1,0,412803.0,1,0.42,0.581818182,0,False,0.518793793,-0.867500568,10.5333333333,10.5333333333
965,966,412803,1386,SEATTLE                 ,AMBOY                   ,KING,20150316.0,412803,                         ,PO BOX 5                      ,,,,,GREEN THUMB GROWERS LLC,MARIJUANA PROCESSOR                ,PENDING (ISSUED),PENDING        ,WA,WA,,1944 1ST AVE S  SUITE 400     ,                         ,GREEN THUMB GROWERS                          ,6.03438e+15,981341406.0,986010005.0,0,1,0,0,412803.0,1,0.42,0.581818182,0,False,0.518793793,-0.867500568,10.5333333333,10.5333333333
966,967,412804,105,MONTESANO               ,MONTESANO               ,GRAYS HARBOR,20131206.0,412804,                         ,65 SIMMONS RD                 ,,,,,JR'S LEGACY LLC,MARIJUANA PRODUCER TIER 1          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,65 SIMMONS RD SUITE 1         ,                         ,JR'S                                         ,6.03504e+15,985639526.0,985639526.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.0333333333,26.0333333333
967,968,412808,804,SEATTLE                 ,SEATTLE                 ,KING,20150518.0,412808,                         ,11911 LAKESIDE PL NE          ,,,,,"COX,  CHARITY  E",MARIJUANA PROCESSOR                ,PENDING (ISSUED),PENDING        ,WA,WA,,10334 LAKE CITY WAY NE        ,                         ,WINTERLIFE                                   ,6.02024e+15,981157738.0,981250000.0,0,1,0,0,412808.0,311731,0.0,0.0,2,True,12.64989592,#NAME?,8.43333333333,8.43333333333
968,969,412814,697,WENATCHEE               ,WENATCHEE               ,CHELAN,20150904.0,412814,                         ,PO BOX 5560                   ,,,,,"SATIVA, LLC",MARIJUANA PRODUCER TIER 3          ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,3345 JAGLA RD STE A           ,                         ,SATIVA LLC                                   ,6.03355e+15,988019725.0,988075560.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,4.8,4.8
969,970,412815,1676,MONITOR                 ,MONITOR                 ,CHELAN,20150825.0,412815,                         ,PO BOX 254                    ,,,,,"SNYDER,  NICHOLAS  SHANE",MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,100 MAIN ST STE 10            ,                         ,EVERGREEN PRODUCTION                         ,6.03355e+15,988369800.0,988360000.0,0,0,1,0,412815.0,290390,0.0,0.0,0,False,12.57898013,#NAME?,5.13333333333,5.13333333333
970,971,412817,1406,OLYMPIA                 ,VANCOUVER               ,THURSTON,20131206.0,412817,                         ,5707 NE 52ND CT               ,,,,,GROBRO'S NURSERY LLC,MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,2601 MAYTOWN RD SW            ,STE A                    ,GROBRO'S NURSERY                             ,6.03355e+15,985129152.0,986612187.0,0,1,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.0333333333,26.0333333333
971,972,412817,1921,OLYMPIA                 ,VANCOUVER               ,THURSTON,20131206.0,412817,                         ,5707 NE 52ND CT               ,,,,,GROBRO'S NURSERY LLC,MARIJUANA PRODUCER TIER 3          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,2601 MAYTOWN RD SW            ,STE A                    ,GROBRO'S NURSERY                             ,6.03355e+15,985129152.0,986612187.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.0333333333,26.0333333333
972,973,412819,1173,WHITE SALMON            ,WHITE SALMON            ,KLICKITAT,20150811.0,412819,                         ,214 BATES RD                  ,,,,,"BRAY, CAREY  JAMES",MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,214 BATES RD STE A            ,                         ,EARTH RISING FARM                            ,6.03355e+15,986728504.0,986728504.0,0,1,0,0,412819.0,162848,0.0,0.0,0,False,12.00057253,#NAME?,5.6,5.6
973,974,412819,1606,WHITE SALMON            ,WHITE SALMON            ,KLICKITAT,20150811.0,412819,                         ,214 BATES RD                  ,,,,,"BRAY, CAREY  JAMES",MARIJUANA PRODUCER TIER 1          ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,214 BATES RD STE A            ,                         ,EARTH RISING FARM                            ,6.03355e+15,986728504.0,986728504.0,0,0,1,0,412819.0,162848,0.0,0.0,0,False,12.00057253,#NAME?,5.6,5.6
974,975,412821,576,PASCO                   ,BELLEVUE                ,FRANKLIN,20131206.0,412821,                         ,16600 SE 24TH ST              ,,,,,"PULA VERDE HARVEST, LLC",MARIJUANA PRODUCER TIER 2          ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,481 KEPPS RD                  ,STE A                    ,PULA VERDE HARVEST                           ,6.03355e+15,993019692.0,980085502.0,0,0,1,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.0333333333,26.0333333333
975,976,412821,415,PASCO                   ,BELLEVUE                ,FRANKLIN,20131206.0,412821,                         ,16600 SE 24TH ST              ,,,,,"PULA VERDE HARVEST, LLC",MARIJUANA PROCESSOR                ,PENDING (NOT ISSUED),PENDING        ,WA,WA,,481 KEPPS RD                  ,STE A                    ,PULA VERDE HARVEST                           ,6.03355e+15,993019692.0,980085502.0,0,1,0,0,,0,0.0,0.0,0,False,#NAME?,#NAME?,26.0333333333,26.0333333333
976,977,412826,373,SEATTLE                 ,KENMORE                 ,KING,20150727.0,412826,                         ,16111 74TH AVE NE             ,,,,,"PINGSTON CREEK BOTANICAL, INC.",MARIJUANA PROCESSOR                ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,10715 AURORA AVE N            ,                         ,PINGSTON CREEK BOTANICAL                     ,6.03353e+15,981338813.0,980284225.0,0,1,0,0,412826.0,8104,0.0,0.0,0,False,9.000113046,#NAME?,6.1,6.1
977,978,412826,518,SEATTLE                 ,KENMORE                 ,KING,20150727.0,412826,                         ,16111 74TH AVE NE             ,,,,,"PINGSTON CREEK BOTANICAL, INC.",MARIJUANA PRODUCER TIER 2          ,ACTIVE (ISSUED),APPROVED       ,WA,WA,,10715 AURORA AVE N            ,                         ,PINGSTON CREEK BOTANICAL                     ,6.03353e+15,981338813.0,980284225.0,0,0,1,0,412826.0,8104,0.0,0.0,0,False,9.000113046,#NAME?,6.1,6.1
